seller_state,customer_state,volumen,gmv,atraso_prom,flete_por_km_prom,review_prom,distancia_prom_km,score_volumen,score_puntualidad,score_flete,score_satisfaccion,indice_desempeno,lat_origen,lng_origen,lat_destino,lng_destino
SP,SP,31502,4095360.65,-10.230152456239413,0.3432500597777551,4.130687668716779,150.83836241795117,100.0,32.314899774138894,91.89654930743424,69.03241165799975,70.3,-23.155308346172937,-47.0840736716131,-23.155308346172937,-47.0840736716131
SP,RJ,8457,1304526.93,-11.122501063377285,0.05167829327538978,3.727063500366147,442.4438227193001,26.834301679525037,34.92920233411313,99.02443821574317,53.930215603900386,50.5,-23.155308346172937,-47.0840736716131,-22.743477321669616,-43.15554026830261
SP,MG,7591,1124066.42,-12.797385620915033,0.049541488609943986,4.043176293552494,495.30879213352415,24.084833476204082,39.8360906862745,99.07667546236263,65.75804394583943,54.2,-23.155308346172937,-47.0840736716131,-19.8646472791171,-44.42161506590787
SP,RS,3668,539059.45,-14.460198403097024,0.023319139021659892,3.992581957406078,907.2250543013259,11.629679017049241,44.7076125090733,99.71771830756765,63.86498192521629,52.2,-23.155308346172937,-47.0840736716131,-29.67919062328251,-52.03265163171496
SP,PR,3177,479645.49,-13.198392906622333,0.05005202381731262,4.048219178082192,464.08718197768025,10.070800393688287,41.0109167186201,99.0641946989281,65.94673093937824,51.1,-23.155308346172937,-47.0840736716131,-24.793606676623277,-50.8796624431511
PR,SP,3019,534140.85,-15.274850299401198,0.04560128617008969,4.142857142857143,470.3331463887537,9.56916531733181,47.094287986526936,99.17299934723131,69.48775055679289,53.7,-24.793606676623277,-50.8796624431511,-23.155308346172937,-47.0840736716131
MG,SP,2633,385876.91,-13.631724137931034,0.06370472250305081,4.122199592668024,417.6283913543049,8.343651776359653,42.28044181034482,98.73043495017764,68.71481772120893,51.7,-19.8646472791171,-44.42161506590787,-23.155308346172937,-47.0840736716131
SP,BA,2387,387627.01,-10.933358720487433,0.01767696738754292,3.7591623036649215,1392.7366867989667,7.562625011905896,34.37507437642802,99.8556492639563,55.1312398698679,46.0,-23.155308346172937,-47.0840736716131,-13.049360869325652,-39.560648696030576
SP,SC,2370,367112.13,-11.035068290882244,0.04024168290465741,3.9044468945240722,565.0850239794261,7.508651617614376,34.67305163344406,99.30402251565012,60.56727801337287,47.3,-23.155308346172937,-47.0840736716131,-27.222485826583537,-49.6179368726889
MG,MG,1572,214839.24,-12.602756141402038,0.3398086299127977,4.249265138154027,259.96534434779574,4.975076991459504,39.26588713301378,91.9806799832449,73.46916329841349,49.8,-19.8646472791171,-44.42161506590787,-19.8646472791171,-44.42161506590787
SP,ES,1492,224036.06,-9.600246761258482,0.02663588084358652,3.94960049170252,788.0588788431529,4.721084547734705,30.469472933374448,99.63663580932774,62.256766727399416,45.8,-23.155308346172937,-47.0840736716131,-20.105145324187276,-40.50318322322485
SP,GO,1463,230971.74,-11.63669281834641,0.029634578689347345,3.946075494307969,744.7614764730605,4.629012286884465,36.435623491249245,99.5633283510283,62.124873729117766,47.5,-23.155308346172937,-47.0840736716131,-16.577644584237593,-49.33419502806323
SP,DF,1415,211208.66,-11.761022364217252,0.02537503729968191,3.9552614996849402,805.4695126362859,4.4766168206495855,36.79987020766773,99.66745893332057,62.46858172540535,47.7,-23.155308346172937,-47.0840736716131,-15.810884759001096,-47.96963045270266
RJ,SP,1381,299412.25,-11.798233695652174,0.05063121553590336,4.028495692511597,401.697640690369,4.368670032066547,36.90888778023097,99.05003552886767,65.20874751491054,48.3,-22.743477321669616,-43.15554026830261,-23.155308346172937,-47.0840736716131
SC,SP,1348,237477.04,-14.796234028244788,0.04459678931658143,4.115922718187875,512.2637855301132,4.263898149030066,45.6920918796234,99.19755570968863,68.47995916604967,51.7,-27.222485826583537,-49.6179368726889,-23.155308346172937,-47.0840736716131
MG,RJ,1196,187923.5,-13.386666666666667,0.07695451514599921,3.9771863117870723,373.4856762944042,3.781312505952948,41.56249999999999,98.40652481597644,63.28893104236708,48.9,-19.8646472791171,-44.42161506590787,-22.743477321669616,-43.15554026830261
SP,PE,1172,202337.49,-13.786516853932584,0.015276472498768597,3.910236220472441,2049.5621026393587,3.7051147728355085,42.73393609550561,99.91433279527828,60.783894218122526,48.9,-23.155308346172937,-47.0840736716131,-8.179098403904215,-35.75886555563954
SP,CE,1009,190590.46,-11.175985334555454,0.01385030777113433,3.815836298932384,2258.206033632349,3.18760516874623,35.08589453483043,99.94919743208955,57.25178134089991,45.6,-23.155308346172937,-47.0840736716131,-4.36315122962809,-39.00413976333794
PR,RJ,1007,175270.88,-13.671748878923767,0.02756824208245387,3.753315649867374,839.5554546986705,3.18125535765311,42.397701793721964,99.61384290515605,54.912478658734706,47.2,-24.793606676623277,-50.8796624431511,-22.743477321669616,-43.15554026830261
RJ,RJ,998,202509.68,-13.239410681399631,0.6267586507254436,4.21028880866426,54.23342009942144,3.15268120773407,41.13108598066299,84.96577625945487,72.01080620391888,48.1,-22.743477321669616,-43.15554026830261,-22.743477321669616,-43.15554026830261
PR,MG,839,161684.78,-15.389189189189189,0.02792126415242304,4.142550911039657,883.9586372885572,2.6478712258310315,47.429265202702695,99.60521277567847,69.4762924397912,52.2,-24.793606676623277,-50.8796624431511,-19.8646472791171,-44.42161506590787
PR,PR,734,119923.37,-12.460869565217392,0.5736049976323299,4.272838002436053,219.7465580173736,2.3145061434422325,38.85020380434783,86.26519334247149,74.35117692856504,48.1,-24.793606676623277,-50.8796624431511,-24.793606676623277,-50.8796624431511
SP,PA,701,141459.92,-14.269281045751635,0.014146065163466464,3.739018087855297,2325.594809711668,2.209734260405753,44.14828431372548,99.94196721957054,54.377514200376375,47.4,-23.155308346172937,-47.0840736716131,-2.6312130665342277,-49.4858616770825
RS,SP,684,135420.26,-18.64485981308411,0.02803285954821974,4.203947368421052,862.2235313863237,2.155760866114233,56.96736273364485,99.60248466659762,71.77353182510842,55.5,-29.67919062328251,-52.03265163171496,-23.155308346172937,-47.0840736716131
SP,MT,663,118356.82,-14.646517739816032,0.019496789800410183,4.007863695937091,1343.502810476779,2.0890878496364733,45.25346994086728,99.81116110192548,64.43677080566398,50.2,-23.155308346172937,-47.0840736716131,-14.156481652355609,-55.708955824019334
PR,RS,596,101800.27,-13.683211678832118,0.03580394699370221,4.132183908045977,632.4860990356223,1.876369178016954,42.43128421532846,99.41250931791205,69.08839566853544,50.4,-24.793606676623277,-50.8796624431511,-29.67919062328251,-52.03265163171496
RJ,MG,567,119401.13,-13.117647058823529,0.058229749566825424,4.167213114754098,378.0793314456737,1.7842969171667142,40.774356617647044,98.86427849522849,70.39906531819344,50.1,-22.743477321669616,-43.15554026830261,-19.8646472791171,-44.42161506590787
SP,MA,509,90954.52,-9.551912568306012,0.017852288497258072,3.606060606060606,2181.04962964387,1.600152395466235,30.327868852459005,99.85136328864284,49.40271309981778,41.8,-23.155308346172937,-47.0840736716131,-3.7989966701671265,-44.81862689333526
SP,MS,484,85971.64,-10.392792792792793,0.028594824478035977,3.9679144385026737,809.4091167862339,1.5207797568022352,32.79138513513513,99.58874663003068,62.94201017114682,45.9,-23.155308346172937,-47.0840736716131,-20.765005763284858,-54.53214031549422
SC,RJ,483,93678.67,-13.736346516007533,0.03262899580209979,3.909090909090909,785.0731288965591,1.5176048512556752,42.586952683615806,99.49012554137057,60.741040696497286,48.2,-27.222485826583537,-49.6179368726889,-22.743477321669616,-43.15554026830261
SC,MG,441,94499.13,-16.014705882352942,0.030930348605125203,4.010438413361169,950.0759275512703,1.3842588183001556,49.26183363970588,99.53165140191491,64.53310767142014,51.2,-27.222485826583537,-49.6179368726889,-19.8646472791171,-44.42161506590787
PR,SC,399,69620.03,-12.279909706546276,0.06764852722767585,4.235555555555556,392.7852316003543,1.250912785344636,38.32004796839728,98.6340230023049,72.95619896065332,49.8,-24.793606676623277,-50.8796624431511,-27.222485826583537,-49.6179368726889
MG,BA,379,57364.26,-11.087167070217918,0.025508353258213136,3.9786729857819907,1048.7550030981715,1.1874146744134362,34.825684776029036,99.66419983401369,63.344557151753776,46.5,-19.8646472791171,-44.42161506590787,-13.049360869325652,-39.560648696030576
MG,PR,370,58130.2,-16.364077669902912,0.0335952795750094,4.234866828087167,805.6465413819906,1.1588405244943962,50.285383798543684,99.46650335233004,72.93042920237063,53.5,-19.8646472791171,-44.42161506590787,-24.793606676623277,-50.8796624431511
SP,PB,349,85105.37,-12.886304909560723,0.019769663232227595,3.9848101265822784,2167.9024576463403,1.0921675080166366,40.096596414728666,99.8044903205554,63.574187364325795,48.2,-23.155308346172937,-47.0840736716131,-7.08829790924903,-35.82167825839298
SP,PI,343,65656.0,-10.651933701657459,0.019127836629145294,3.839572192513369,2013.5717802289919,1.0731180747372766,33.55058701657457,99.82018068996273,58.13989495372962,44.8,-23.155308346172937,-47.0840736716131,-5.754988726061569,-42.50954149377485
SP,RN,341,69617.93000000001,-13.103260869565217,0.01648230838139739,4.024193548387097,2260.5083274391545,1.0667682636441567,40.732209578804344,99.88485441225055,65.0477764207199,48.7,-23.155308346172937,-47.0840736716131,-5.856702064225209,-35.99007862513833
DF,SP,315,43060.89,-13.267477203647417,0.024295517696692873,4.074404761904762,821.4135117372552,0.9842207194335968,41.213312120060785,99.69384933420456,66.92650334075725,49.3,-15.810884759001096,-47.96963045270266,-23.155308346172937,-47.0840736716131
SC,RS,301,57045.45,-12.5527950310559,0.06132287312942477,4.146341463414634,424.2848266736541,0.939772041781757,39.119516692546576,98.78866266521052,69.61812157097074,49.1,-27.222485826583537,-49.6179368726889,-29.67919062328251,-52.03265163171496
RS,RS,295,62140.25,-11.348909657320872,0.6640587000165107,4.447852760736196,147.9603180210747,0.9207226085023971,35.59250876168224,84.0539231990214,80.89961331930535,47.9,-29.67919062328251,-52.03265163171496,-29.67919062328251,-52.03265163171496
SC,PR,288,50751.13,-14.560371517027864,0.08196063915972544,4.337461300309598,354.0929041846444,0.8984982696764772,45.001088428792556,98.28414295349673,76.7691533300696,52.6,-27.222485826583537,-49.6179368726889,-24.793606676623277,-50.8796624431511
MG,RS,285,46377.37,-17.177419354838708,0.026811588844946874,4.111464968152866,1252.9232750029141,0.8889735530367971,52.66822076612902,99.63234037589459,68.31316584625424,53.0,-19.8646472791171,-44.42161506590787,-29.67919062328251,-52.03265163171496
SC,SC,266,53424.25,-11.181208053691275,0.33307525906892677,4.248387096774193,139.814307543498,0.8286503476521573,35.101195469798654,92.14528686521189,73.4363100797471,47.5,-27.222485826583537,-49.6179368726889,-27.222485826583537,-49.6179368726889
SP,AL,266,52641.35,-8.241758241758241,0.018164132076351123,3.5950704225352115,1904.6240896275158,0.8286503476521573,26.48952609890108,99.84373982627812,48.991499105994556,40.4,-23.155308346172937,-47.0840736716131,-9.599728966379828,-36.05201677757483
MG,SC,259,44061.36,-13.414893617021276,0.03309576161280155,3.9859649122807017,908.2147842324518,0.8064260088262375,41.645196143617014,99.4787147834471,63.61739538154965,48.5,-19.8646472791171,-44.42161506590787,-27.222485826583537,-49.6179368726889
RS,RJ,249,57616.17,-14.946768060836503,0.025431717504825826,3.9884615384615385,1120.0817552995677,0.7746769533606375,46.13310955323195,99.66607330462816,63.71081034778141,49.9,-29.67919062328251,-52.03265163171496,-22.743477321669616,-43.15554026830261
SP,SE,212,43006.0,-9.375527426160337,0.02206017649153718,3.7510373443983402,1725.753594952276,0.6572054481379178,29.811115506329116,99.74849544748791,54.82723248528312,42.8,-23.155308346172937,-47.0840736716131,-10.866199407643286,-37.18116903794639
RJ,RS,208,41693.96,-11.493150684931507,0.018447775130827668,4.119469026548672,1189.8022197064106,0.6445058259516779,36.01508989726027,99.83680576607684,68.61264954569643,48.1,-22.743477321669616,-43.15554026830261,-29.67919062328251,-52.03265163171496
RJ,PR,207,45661.39,-13.852813852813853,0.024474989635011452,3.8583690987124464,819.1813503557645,0.641330920405118,42.92816558441558,99.68946188594838,58.84320903868397,47.7,-22.743477321669616,-43.15554026830261,-24.793606676623277,-50.8796624431511
SP,TO,201,44647.74,-11.730088495575222,0.02582380463771237,4.078947368421052,1479.8845195534298,0.622281487125758,36.70924363938053,99.6564881738073,67.09647169147813,47.9,-23.155308346172937,-47.0840736716131,-9.503700370876633,-48.348661062026544
MG,DF,193,37045.07,-13.11574074074074,0.03966077044782945,4.1336405529953915,592.2253592598379,0.5968822427532782,40.768771701388886,99.31822375161818,69.14289819670954,49.5,-19.8646472791171,-44.42161506590787,-15.810884759001096,-47.96963045270266
RS,MG,190,49771.54,-19.65437788018433,0.023101347056511172,4.319444444444445,1291.8146409596284,0.5873575261135981,59.92493519585253,99.72304254369423,76.09502598366743,57.1,-29.67919062328251,-52.03265163171496,-19.8646472791171,-44.42161506590787
MG,ES,180,26780.44,-12.800995024875622,0.05307751327286445,4.0,512.9891938361633,0.5556084706479982,39.8466651119403,98.99023228140351,64.14253897550111,47.9,-19.8646472791171,-44.42161506590787,-20.105145324187276,-40.50318322322485
SP,RO,172,34745.74,-19.964102564102564,0.01883612369169916,4.03030303030303,2197.1663264846347,0.5302092262755183,60.832331730769226,99.8273120299967,65.27637173516906,54.7,-23.155308346172937,-47.0840736716131,-10.341289125647073,-62.720578548602134
MG,GO,155,24393.07,-13.165680473372781,0.04977014958548029,3.947674418604651,637.6954923739935,0.4762358319839985,40.91507951183431,99.07108551772966,62.18469984979541,47.8,-19.8646472791171,-44.42161506590787,-16.577644584237593,-49.33419502806323
PR,DF,153,32763.260000000002,-14.545454545454545,0.02712933868048511,4.01685393258427,1038.4122518094828,0.4698860208908785,44.95738636363637,99.62457252664252,64.77315382497936,49.7,-24.793606676623277,-50.8796624431511,-15.810884759001096,-47.96963045270266
PR,BA,148,42536.53,-10.300613496932515,0.025854096055424422,3.709090909090909,1755.0717194030904,0.45401149315807854,32.52132860429447,99.65574765677124,53.25774448268881,43.1,-24.793606676623277,-50.8796624431511,-13.049360869325652,-39.560648696030576
RS,PR,142,21981.07,-13.574324324324325,0.03677007928588966,4.263513513513513,595.4061971076459,0.4349620598787186,42.112278293918905,99.38889083203445,74.0022873653163,51.1,-29.67919062328251,-52.03265163171496,-24.793606676623277,-50.8796624431511
BA,SP,141,78912.66,-12.92,0.02478935871504827,4.124183006535947,1408.788196372438,0.43178715433215864,40.1953125,99.6817766841005,68.78903008865015,49.3,-13.049360869325652,-39.560648696030576,-23.155308346172937,-47.0840736716131
RJ,BA,138,33857.79,-10.845070422535212,0.02549612524324041,4.028169014084507,1177.7357180297508,0.4222624376924787,34.11641725352112,99.66449876533115,65.19652435772767,46.6,-22.743477321669616,-43.15554026830261,-13.049360869325652,-39.560648696030576
