seller_city,customer_city,volumen,gmv,atraso_prom,flete_por_km_prom,review_prom,distancia_prom_km,score_volumen,score_puntualidad,score_flete,score_satisfaccion,indice_desempeno,lat_origen,lng_origen,lat_destino,lng_destino
sao paulo,sao paulo,4173,455157.81,-9.038510911424904,1.093070153398,4.175726927939317,15.310502987128874,100.0,66.44121631563726,92.29036870326779,79.39317319848294,83.2,-23.570860168123772,-46.63324168698217,-23.570860168123772,-46.63324168698217
ibitinga,sao paulo,1111,122764.82,-11.410741301059002,0.04735809890993999,3.86404833836858,303.3566546403119,26.588348117957324,68.78531749116502,99.78071894141458,71.6012084592145,65.1,-21.75732063771276,-48.82974353343716,-23.570860168123772,-46.63324168698217
santo andre,sao paulo,437,45990.56,-10.039832285115304,0.6731987740366226,4.31404958677686,18.0908694455374,10.42915368017262,67.43066431335504,95.29787318109479,82.85123966942149,62.6,-23.66003109137579,-46.52196585166827,-23.570860168123772,-46.63324168698217
sao paulo,campinas,369,42365.74,-7.779411764705882,0.12292084581912995,3.995145631067961,89.45874722761315,8.798849196835292,65.19704719832598,99.23946914241196,74.87864077669903,60.3,-23.570860168123772,-46.63324168698217,-22.900868230378116,-47.068536847474405
piracicaba,sao paulo,331,38539.75,-10.37084398976982,0.07890080176953773,4.232142857142857,142.6331300110657,7.887796691440902,67.75775097803343,99.55478113103727,80.80357142857142,62.4,-22.725841079430882,-47.646621915541594,-23.570860168123772,-46.63324168698217
guarulhos,sao paulo,326,50430.659999999996,-8.894021739130435,0.8293864573305567,3.9634464751958225,19.57957415483042,7.767921361783745,66.2984404536862,94.17911353236046,74.08616187989556,59.2,-23.446403450610912,-46.4987684618031,-23.570860168123772,-46.63324168698217
sao paulo,guarulhos,325,31730.12,-8.836257309941521,0.6810579804416063,3.9426934097421205,20.648688013654933,7.7439462958523135,66.24136097820309,95.24157832601058,73.56733524355302,59.2,-23.570860168123772,-46.63324168698217,-23.446403450610912,-46.4987684618031
ribeirao preto,sao paulo,318,50106.85,-9.830555555555556,0.045865334378300406,4.090909090909091,293.09772900884144,7.576120834332295,67.22386912604304,99.79141149211921,77.27272727272727,61.3,-21.18075063440761,-47.804281096227626,-23.570860168123772,-46.63324168698217
sao paulo,sao bernardo do campo,269,27028.420000000002,-10.35064935064935,0.631733455626451,4.410828025477707,19.291172905345736,6.40134260369216,67.7377958010369,95.59488587813262,85.27070063694266,62.4,-23.570860168123772,-46.63324168698217,-23.707626338404054,-46.56386871942162
sao jose do rio preto,sao paulo,236,27242.760000000002,-11.445578231292517,0.03801106794253068,4.172185430463577,417.1025842280574,5.610165427954927,68.81974133526928,99.84767096260646,79.30463576158941,61.8,-20.80964107209363,-49.37964503407105,-23.570860168123772,-46.63324168698217
praia grande,sao paulo,234,16475.69,-9.155642023346303,0.1788763322666125,4.274131274131274,54.08916771444503,5.562215296092064,66.55695852109318,98.83866455243073,81.85328185328184,61.6,-24.02142365584944,-46.46182393815411,-23.570860168123772,-46.63324168698217
campinas,sao paulo,216,32250.81,-8.192660550458715,0.11445013425743268,4.0,87.53745418595733,5.130664109326301,65.60539580084853,99.3001441591062,75.0,59.6,-22.900868230378116,-47.068536847474405,-23.570860168123772,-46.63324168698217
sao paulo,santo andre,206,19897.22,-9.853982300884956,0.7340337066757379,4.151515151515151,17.04698071410799,4.890913450011988,67.24701808387842,94.86211751563665,78.78787878787878,60.1,-23.570860168123772,-46.63324168698217,-23.66003109137579,-46.52196585166827
sao bernardo do campo,sao paulo,200,32565.05,-7.958715596330276,0.6019197782363447,4.255605381165919,20.07587129557251,4.7470630544234,65.37422489755957,95.80843881995878,81.39013452914799,60.3,-23.707626338404054,-46.56386871942162,-23.570860168123772,-46.63324168698217
sao paulo,santos,196,24663.24,-8.265486725663717,0.22447783035183133,4.263392857142857,52.625538649356066,4.651162790697675,65.6773584245689,98.51202473741043,81.58482142857142,61.0,-23.570860168123772,-46.63324168698217,-23.96252319074522,-46.32780350647337
sao paulo,osasco,194,17386.48,-9.486842105263158,0.5950764687762562,4.148471615720524,19.837096270296005,4.603212658834812,66.88423132931142,95.85745688800542,78.7117903930131,60.1,-23.570860168123772,-46.63324168698217,-23.536560947810024,-46.788283628866644
sao paulo,sao jose dos campos,188,20830.89,-9.341463414634147,0.1266546894012008,4.346153846153846,85.35667686653417,4.459362263246224,66.74057649667407,99.21272392507977,83.65384615384615,61.9,-23.570860168123772,-46.63324168698217,-23.21087970704399,-45.885186496537024
sao paulo,sorocaba,182,21000.79,-9.73134328358209,0.13277371030787888,4.1182266009852215,88.97846209701851,4.315511867657636,67.12583328417202,99.16889387692373,77.95566502463053,60.5,-23.570860168123772,-46.63324168698217,-23.485346151382075,-47.464450005691745
salto,sao paulo,173,18614.84,-7.803370786516854,0.1506147904575567,4.262569832402234,80.57103569594875,4.099736274274754,65.22072212106409,99.04109967356308,81.56424581005585,60.8,-23.19676253260492,-47.292606359513954,-23.570860168123772,-46.63324168698217
